ТОТЕМНАЯ ТАБЛИЦА ГЕННЫХ КЛЮЧЕЙ
Генный ключ	Ключ видения (Сиддхи)	Ключ жизни (Дар)	Ключ страха (Тень)
1	петушок	бык	жук-светляк
2	курица	корова	осьминог
3	тупик	койот	гадюка
4	гагара	обезьяна	личинка
5	гусь	слон	планктон
6	голубь	еж	кальмары
7	киви	баран	гусеница
8	колибри	крот	слизняк
9	большой баклан	бобер	клещ
10	кукабар (гигантский зимородок)	шимпанзе	лягушка
11	фазан	белый медведь	карп
12	соловей	волк	богомол
13	трясогузка	мышь	морская звезда
14	тукан	барсук	черепаха
15	зяблик	антилопа гну	жук
16	стриж	крыса	скат
17	сокол	жираф	тутовый шелкопряд
18	удод	тигр	блоха
19	пеликан	верблюд	тарантул
20	журавль	скунс	муха
21	зимородок	вол	морской конек
22	лебедь	олень	пиранья
23	сорока	овца	скарабей
24	козодой	заяц	летучая рыба
25	фламинго	лев	лосось
26	кречет	лиса	хамелеон
27	дикая индейка	дельфин	акула
28	ворона	гепард	цикада
29	какаду	свинья	питон
30	райская птица	сурикат	моль
31	синяя птица	ягненок	таракан
32	гриф	северный олень	земляной червь
33	канюк	ленивец	тритон
34	эму	медведь	ящерица
35	кетсаль	як	кузнечик
36	поползень	белка	саламандра
37	воробей	собака	медуза
38	сойка	носорог	краб
39	чайка	козел	комар
40	малиновка	кошка	оса
41	ласточка	кенгуру	угорь
42	попугай	лама	моллюск
43	ястреб-перепелятник	американский лось	электрический угорь
44	перепел	дикая собака	пчела
45	ибис	буйвол	муравей
46	калифорнийская земляная кукушка	выдра	божья коровка
47	ворон	осел	рыба-меч
48	сова	кит	устрица
49	пингвин	лошадь	бабочка
50	куропатка	енот	паук
51	кондор	ласка	скорпион
52	зуек	броненосец	актиния
53	аист	кролик	змея
54	жаворонок	кабан	кобра
55	альбатрос	тюлень	стрекоза
56	пчелоед	мангуст	морской еж
57	черный дрозд	летучая мышь	жаба
58	утка	антилопа	пиявка
59	цапля	горилла	улитка
60	кукушка	бегемот	крокодил
61	крапивник	черная пантера	саранча
62	дятел	рысь	гремучая змея
63	орел	ламантин	сороконожка
64	павлин	ягуар / леопард	лобстер
Поделиться в соцсетях
